timestamp,frame_index,location,pedestrian_count,occupancy_ratio,mean_speed,risk_score,condition,alert
2026-08-13T08:28:01,366,CAM_01 / FULL_FRAME,12.0,0.404,53.301,50.69,CONGESTION_WARNING,YES
2026-08-13T08:28:01,367,CAM_01 / FULL_FRAME,11.0,0.393,44.959,47.54,CONGESTION_WARNING,YES
2026-08-13T08:28:01,368,CAM_01 / FULL_FRAME,11.0,0.393,47.177,48.29,CONGESTION_WARNING,YES
2026-08-13T08:28:01,369,CAM_01 / FULL_FRAME,11.0,0.39,52.23,51.02,CONGESTION_WARNING,YES
2026-08-13T08:28:01,370,CAM_01 / FULL_FRAME,11.0,0.391,22.312,53.23,CONGESTION_WARNING,YES
2026-08-13T08:28:01,371,CAM_01 / FULL_FRAME,11.0,0.393,30.085,57.88,CONGESTION_WARNING,YES
2026-08-13T08:28:01,372,CAM_01 / FULL_FRAME,11.0,0.399,50.244,52.64,CONGESTION_WARNING,YES
2026-08-13T08:28:01,373,CAM_01 / FULL_FRAME,10.0,0.397,45.768,49.55,CONGESTION_WARNING,YES
2026-08-13T08:28:01,374,CAM_01 / FULL_FRAME,10.0,0.399,38.477,50.3,CONGESTION_WARNING,YES
2026-08-13T08:28:01,375,CAM_01 / FULL_FRAME,10.0,0.396,37.837,50.17,CONGESTION_WARNING,YES
2026-08-13T08:28:01,376,CAM_01 / FULL_FRAME,10.0,0.395,13.697,53.63,CONGESTION_WARNING,YES
2026-08-13T08:28:01,377,CAM_01 / FULL_FRAME,10.0,0.394,30.693,50.98,CONGESTION_WARNING,YES
2026-08-13T08:28:01,378,CAM_01 / FULL_FRAME,10.0,0.379,47.595,47.57,CONGESTION_WARNING,YES
